,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
65,2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,2021-01-01,17,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.04949,2
66,2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,2021-01-01,17,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,41.18432,3
67,2021-01-02T00:00:00-00:00,2021-01-02T01:00:00-00:00,2021-01-01,17,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.17709,4
68,2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,2021-01-01,18,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,59.41522,1
69,2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,2021-01-01,18,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.67898,2
70,2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,2021-01-01,18,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,58.60731,3
71,2021-01-02T01:00:00-00:00,2021-01-02T02:00:00-00:00,2021-01-01,18,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.12894,4
72,2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,2021-01-01,19,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,51.25689,1
73,2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,2021-01-01,19,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.38138,2
74,2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,2021-01-01,19,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,50.13848,3
75,2021-01-02T02:00:00-00:00,2021-01-02T03:00:00-00:00,2021-01-01,19,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.73704,4
76,2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,2021-01-01,20,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,48.71096,1
77,2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,2021-01-01,20,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.28202,2
78,2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,2021-01-01,20,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,47.69914,3
79,2021-01-02T03:00:00-00:00,2021-01-02T04:00:00-00:00,2021-01-01,20,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.7298,4
80,2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,2021-01-01,21,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,46.91226,1
81,2021-01-02T04:00:00-00:00,2021-01-02T05:00:00-00:00,2021-01-01,21,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.09588,2
